# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : May 31 2014 - 12:37:17
#
# Loaded time stamp           : 20140531-12h51m21s562496us
#
# random seed             : 1401533481
30 : 67 c 0
30 : 67 c 0
30 : 67 c 0
30 : 67 c 0
30 : 67 c 0
30 : 67 c 0
30 : Agent Points Created 0
31 : 7 c 0
31 : 63 c 0
31 : 67 c 0
31 : 81 c 0
31 : 85 c 0
31 : 85 c 0
31 : 85 c 0
31 : 85 c 0
31 : 85 c 0
31 : 96 c 0
31 : Agent Points Created 0
32 : 58 c 0
32 : 67 c 0
32 : 81 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 85 c 0
32 : 93 c 0
32 : 93 c 0
32 : 93 c 0
32 : 93 c 0
32 : 95 c 0
32 : 96 c 0
32 : Agent Points Created 0
33 : 7 c 0
33 : 9 c 0
33 : 9 c 0
33 : 23 c 0
33 : 47 c 0
33 : 67 c 0
33 : 81 c 0
33 : 85 c 0
33 : 85 c 0
33 : 85 c 0
33 : 85 c 0
33 : 85 c 0
33 : 85 c 0
33 : 85 c 0
33 : 85 c 0
33 : 85 c 0
33 : 85 c 0
33 : 85 c 0
33 : 86 c 0
33 : 92 c 0
33 : 93 c 0
33 : 93 c 0
33 : 93 c 0
33 : 96 c 0
33 : 98 c 0
33 : Agent Points Created 0
34 : 9 c 0
34 : 67 c 0
34 : 81 c 0
34 : 85 c 0
34 : 85 c 0
34 : 85 c 0
34 : 93 c 0
34 : 93 c 0
34 : 93 c 0
34 : Agent Points Created 0
35 : 7 c 0
35 : 9 c 0
35 : 12 c 0
35 : 12 c 0
35 : 26 c 0
35 : 46 c 0
35 : 67 c 0
35 : 76 c 0
35 : 81 c 0
35 : 85 c 0
35 : 85 c 0
35 : 93 c 0
35 : Agent Points Created 0
36 : 1 c 0
36 : 7 c 0
36 : 9 c 0
36 : 29 c 0
36 : 49 c 0
36 : 50 c 0
36 : 67 c 0
36 : 76 c 0
36 : 81 c 0
36 : 85 c 0
36 : 93 c 0
36 : 93 c 0
36 : Agent Points Created 0
37 : 2 c 0
37 : 9 c 0
37 : 42 c 0
37 : 67 c 0
37 : 81 c 0
37 : 85 c 0
37 : 85 c 0
37 : 85 c 0
37 : 86 c 0
37 : 93 c 0
37 : Agent Points Created 0
38 : 7 c 0
38 : 9 c 0
38 : 47 c 0
38 : 53 c 0
38 : 67 c 0
38 : 81 c 0
38 : 85 c 0
38 : 88 c 0
38 : 93 c 0
38 : Agent Points Created 0
39 : 0 c 0
39 : 9 c 0
39 : 51 c 0
39 : 67 c 0
39 : 81 c 0
39 : 81 c 0
39 : 81 c 0
39 : 81 c 0
39 : 85 c 0
39 : 89 c 0
39 : 93 c 0
39 : Agent Points Created 0
40 : 9 c 0
40 : 49 c 0
40 : 76 c 0
40 : 81 c 0
40 : 85 c 0
40 : 85 c 0
40 : Agent Points Created 0
41 : 9 c 0
41 : 40 c 0
41 : 51 c 0
41 : 62 c 0
41 : 65 c 0
41 : 81 c 0
41 : 81 c 0
41 : 81 c 0
41 : 81 c 0
41 : 85 c 0
41 : 88 c 0
41 : 92 c 0
41 : 93 c 0
41 : Agent Points Created 0
42 : 9 c 0
42 : 29 c 0
42 : 42 c 0
42 : 42 c 0
42 : 51 c 0
42 : 73 c 0
42 : 74 c 0
42 : 80 c 0
42 : 81 c 0
42 : 81 c 0
42 : 85 c 0
42 : 85 c 0
42 : Agent Points Created 0
43 : 9 c 0
43 : 51 c 0
43 : 81 c 0
43 : 81 c 0
43 : Agent Points Created 0
44 : 2 c 0
44 : 32 c 0
44 : 40 c 0
44 : 81 c 0
44 : 81 c 0
44 : Agent Points Created 0
45 : 32 c 0
45 : 40 c 0
45 : 44 c 0
45 : 44 c 0
45 : 44 c 0
45 : 51 c 0
45 : 61 c 0
45 : 81 c 0
45 : 84 c 0
45 : 96 c 0
45 : Agent Points Created 0
46 : 32 c 0
46 : 44 c 0
46 : 44 c 0
46 : 44 c 0
46 : 44 c 0
46 : 85 c 0
46 : 92 c 0
46 : 96 c 0
46 : Agent Points Created 0
47 : 12 c 0
47 : 12 c 0
47 : 12 c 0
47 : 12 c 0
47 : 12 c 0
47 : 12 c 0
47 : 29 c 0
47 : 44 c 0
47 : 44 c 0
47 : 44 c 0
47 : 75 c 0
47 : 89 c 0
47 : 96 c 0
47 : Agent Points Created 0
48 : 12 c 0
48 : 44 c 0
48 : 44 c 0
48 : 44 c 0
48 : 44 c 0
48 : 44 c 0
48 : 44 c 0
48 : 44 c 0
48 : 75 c 0
48 : 89 c 0
48 : 94 c 0
48 : 96 c 0
48 : Agent Points Created 0
49 : 12 c 0
49 : 12 c 0
49 : 44 c 0
49 : 44 c 0
49 : 89 c 0
49 : 96 c 0
49 : Agent Points Created 0
50 : 32 c 0
50 : 44 c 0
50 : 44 c 0
50 : 44 c 0
50 : 81 c 0
50 : 89 c 0
50 : 96 c 0
50 : Agent Points Created 0
51 : 3 c 0
51 : 3 c 0
51 : 3 c 0
51 : 8 c 0
51 : 12 c 0
51 : 12 c 0
51 : 13 c 0
51 : 22 c 0
51 : 26 c 0
51 : 27 c 0
51 : 32 c 0
51 : 42 c 0
51 : 42 c 0
51 : 44 c 0
51 : 44 c 0
51 : 55 c 0
51 : 89 c 0
51 : 96 c 0
51 : Agent Points Created 0
52 : 9 c 0
52 : 13 c 0
52 : 24 c 0
52 : 29 c 0
52 : 31 c 0
52 : 32 c 0
52 : 39 c 0
52 : 44 c 0
52 : 52 c 0
52 : 89 c 0
52 : 96 c 0
52 : Agent Points Created 0
53 : 12 c 0
53 : 44 c 0
53 : 89 c 0
53 : 96 c 0
53 : Agent Points Created 0
54 : 9 c 0
54 : 9 c 0
54 : 44 c 0
54 : 78 c 0
54 : 89 c 0
54 : Agent Points Created 0
55 : 3 c 0
55 : 25 c 0
55 : 25 c 0
55 : 25 c 0
55 : 44 c 0
55 : 85 c 0
55 : 87 c 0
55 : 87 c 0
55 : 87 c 0
55 : 87 c 0
55 : 87 c 0
55 : Agent Points Created 0
56 : 28 c 0
56 : 87 c 0
56 : 87 c 0
56 : 96 c 0
56 : Agent Points Created 0
57 : 87 c 0
57 : Agent Points Created 0
58 : 87 c 0
58 : Agent Points Created 0
59 : 44 c 0
59 : 67 c 0
59 : 85 c 0
59 : 85 c 0
59 : 85 c 0
59 : 87 c 0
59 : 96 c 0
59 : Agent Points Created 0
60 : 27 c 0
60 : 46 c 0
60 : 66 c 0
60 : 85 c 0
60 : 85 c 0
60 : 85 c 0
60 : 85 c 0
60 : Agent Points Created 0
61 : 1 c 0
61 : 13 c 0
61 : 15 c 0
61 : 61 c 0
61 : 61 c 0
61 : 78 c 0
61 : 78 c 0
61 : 78 c 0
61 : 85 c 0
61 : 85 c 0
61 : 85 c 0
61 : 85 c 0
61 : 85 c 0
61 : 85 c 0
61 : 87 c 0
61 : 92 c 0
61 : 96 c 0
61 : Agent Points Created 0
62 : 9 c 0
62 : 42 c 0
62 : 78 c 0
62 : 78 c 0
62 : 78 c 0
62 : 78 c 0
62 : 85 c 0
62 : 85 c 0
62 : 85 c 0
62 : 85 c 0
62 : 85 c 0
62 : Agent Points Created 0
63 : 0 c 0
63 : 9 c 0
63 : 9 c 0
63 : 28 c 0
63 : 67 c 0
63 : 75 c 0
63 : 78 c 0
63 : 78 c 0
63 : 78 c 0
63 : 82 c 0
63 : 85 c 0
63 : 85 c 0
63 : 85 c 0
63 : Agent Points Created 0
64 : 0 c 0
64 : 9 c 0
64 : 58 c 0
64 : 62 c 0
64 : 78 c 0
64 : 78 c 0
64 : 78 c 0
64 : 85 c 0
64 : 86 c 0
64 : Agent Points Created 0
65 : 9 c 0
65 : 49 c 0
65 : 76 c 0
65 : 76 c 0
65 : 76 c 0
65 : 76 c 0
65 : 78 c 0
65 : 78 c 0
65 : 78 c 0
65 : 85 c 0
65 : Agent Points Created 0
66 : 9 c 0
66 : 44 c 0
66 : 65 c 0
66 : 68 c 0
66 : 73 c 0
66 : 76 c 0
66 : 76 c 0
66 : 78 c 0
66 : 78 c 0
66 : 78 c 0
66 : 85 c 0
66 : Agent Points Created 0
67 : 9 c 0
67 : 42 c 0
67 : 54 c 0
67 : 74 c 0
67 : 75 c 0
67 : 76 c 0
67 : 78 c 0
67 : 78 c 0
67 : 85 c 0
67 : 86 c 0
67 : 96 c 0
67 : 98 c 0
67 : Agent Points Created 0
68 : 9 c 0
68 : 13 c 0
68 : 51 c 0
68 : 51 c 0
68 : 54 c 0
68 : 54 c 0
68 : 76 c 0
68 : 76 c 0
68 : 76 c 0
68 : 78 c 0
68 : 78 c 0
68 : 85 c 0
68 : Agent Points Created 0
69 : 9 c 0
69 : 54 c 0
69 : 54 c 0
69 : 54 c 0
69 : 71 c 0
69 : 76 c 0
69 : 76 c 0
69 : 78 c 0
69 : 85 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : 88 c 0
69 : Agent Points Created 0
70 : 9 c 0
70 : 13 c 0
70 : 13 c 0
70 : 50 c 0
70 : 54 c 0
70 : 54 c 0
70 : 76 c 0
70 : 76 c 0
70 : 76 c 0
70 : 76 c 0
70 : 76 c 0
70 : 76 c 0
70 : 76 c 0
70 : 76 c 0
70 : 76 c 0
70 : 76 c 0
70 : 76 c 0
70 : 78 c 0
70 : 78 c 0
70 : 78 c 0
70 : 80 c 0
70 : 84 c 0
70 : 85 c 0
70 : 88 c 0
70 : 88 c 0
70 : 88 c 0
70 : 88 c 0
70 : Agent Points Created 0
71 : 9 c 0
71 : 25 c 0
71 : 54 c 0
71 : 54 c 0
71 : 76 c 0
71 : 76 c 0
71 : 76 c 0
71 : 76 c 0
71 : 76 c 0
71 : 76 c 0
71 : 76 c 0
71 : 76 c 0
71 : 78 c 0
71 : 78 c 0
71 : 85 c 0
71 : 88 c 0
71 : 88 c 0
71 : Agent Points Created 0
72 : 9 c 0
72 : 29 c 0
72 : 31 c 0
72 : 47 c 0
72 : 54 c 0
72 : 76 c 0
72 : 76 c 0
72 : 76 c 0
72 : 76 c 0
72 : 76 c 0
72 : 76 c 0
72 : 76 c 0
72 : 76 c 0
72 : 78 c 0
72 : 85 c 0
72 : 88 c 0
72 : 88 c 0
72 : Agent Points Created 0
73 : 9 c 0
73 : 54 c 0
73 : 75 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 76 c 0
73 : 78 c 0
73 : 82 c 0
73 : 85 c 0
73 : 88 c 0
73 : 88 c 0
73 : 96 c 0
73 : Agent Points Created 0
74 : 9 c 0
74 : 76 c 0
74 : 76 c 0
74 : 76 c 0
74 : 76 c 0
74 : 76 c 0
74 : 76 c 0
74 : 76 c 0
74 : 76 c 0
74 : 78 c 0
74 : 82 c 0
74 : 88 c 0
74 : 88 c 0
74 : Agent Points Created 0
75 : 13 c 0
75 : 54 c 0
75 : 75 c 0
75 : 76 c 0
75 : 76 c 0
75 : 76 c 0
75 : 76 c 0
75 : 76 c 0
75 : 76 c 0
75 : 76 c 0
75 : 76 c 0
75 : 76 c 0
75 : 76 c 0
75 : 76 c 0
75 : 78 c 0
75 : 88 c 0
75 : 88 c 0
75 : 89 c 0
75 : Agent Points Created 0
